,Movie,Title
0,The Shawshank Redemption,9.2
1,The Godfather,9.2
2,The Godfather: Part II,9.0
3,The Dark Knight,9.0
4,12 Angry Men,8.9
5,Schindler's List,8.9
6,The Lord of the Rings: The Return of the King,8.9
7,Pulp Fiction,8.9
8,"Il buono, il brutto, il cattivo",8.8
9,Fight Club,8.8
10,The Lord of the Rings: The Fellowship of the Ring,8.8
11,Forrest Gump,8.7
12,Star Wars: Episode V - The Empire Strikes Back,8.7
13,Inception,8.7
14,The Lord of the Rings: The Two Towers,8.7
15,One Flew Over the Cuckoo's Nest,8.7
16,Goodfellas,8.7
17,The Matrix,8.6
18,Shichinin no samurai,8.6
19,Avengers: Infinity War,8.6
20,Cidade de Deus,8.6
21,Star Wars,8.6
22,Se7en,8.6
23,The Silence of the Lambs,8.6
24,It's a Wonderful Life,8.6
25,La vita è bella,8.6
26,The Usual Suspects,8.6
27,Sen to Chihiro no kamikakushi,8.5
28,Saving Private Ryan,8.5
29,Léon,8.5
30,The Green Mile,8.5
31,Interstellar,8.5
32,American History X,8.5
33,Psycho,8.5
34,City Lights,8.5
35,Once Upon a Time in the West,8.5
36,Casablanca,8.5
37,Modern Times,8.5
38,The Intouchables,8.5
39,The Pianist,8.5
40,The Departed,8.5
41,Terminator 2: Judgment Day,8.5
42,Back to the Future,8.5
43,Raiders of the Lost Ark,8.5
44,Rear Window,8.5
45,Whiplash,8.5
46,Gladiator,8.5
47,The Lion King,8.5
48,The Prestige,8.5
49,Memento,8.4
50,Apocalypse Now,8.4
51,Alien,8.4
52,The Great Dictator,8.4
53,Nuovo Cinema Paradiso,8.4
54,Hotaru no haka,8.4
55,Sunset Blvd.,8.4
56,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
57,The Lives of Others,8.4
58,Paths of Glory,8.4
59,The Shining,8.4
60,Django Unchained,8.4
61,WALL·E,8.4
62,Coco,8.4
63,Mononoke-hime,8.4
64,American Beauty,8.4
65,The Dark Knight Rises,8.4
66,Witness for the Prosecution,8.4
67,Oldeuboi,8.4
68,Aliens,8.4
69,Once Upon a Time in America,8.3
70,Das Boot,8.3
71,Citizen Kane,8.3
72,Vertigo,8.3
73,North by Northwest,8.3
74,Braveheart,8.3
75,Reservoir Dogs,8.3
76,Star Wars: Episode VI - Return of the Jedi,8.3
77,Kimi no na wa.,8.3
78,M - Eine Stadt sucht einen Mörder,8.3
79,Dangal,8.3
80,Requiem for a Dream,8.3
81,Amadeus,8.3
82,Taare Zameen Par,8.3
83,Amélie,8.3
84,Lawrence of Arabia,8.3
85,A Clockwork Orange,8.3
86,Eternal Sunshine of the Spotless Mind,8.3
87,Double Indemnity,8.3
88,Taxi Driver,8.3
89,2001: A Space Odyssey,8.3
90,3 Idiots,8.3
91,Singin' in the Rain,8.3
92,Toy Story,8.3
93,Full Metal Jacket,8.3
94,To Kill a Mockingbird,8.3
95,Inglourious Basterds,8.3
96,Ladri di biciclette,8.3
97,The Sting,8.3
98,The Kid,8.3
99,Toy Story 3,8.3
100,Good Will Hunting,8.3
101,Snatch,8.3
102,Jagten,8.3
103,Monty Python and the Holy Grail,8.3
104,Per qualche dollaro in più,8.2
105,Scarface,8.2
106,L.A. Confidential,8.2
107,The Apartment,8.2
108,Metropolis,8.2
109,Jodaeiye Nader az Simin,8.2
110,Rashômon,8.2
111,Indiana Jones and the Last Crusade,8.2
112,Up,8.2
113,Yôjinbô,8.2
114,All About Eve,8.2
115,Batman Begins,8.2
116,Some Like It Hot,8.2
117,Unforgiven,8.2
118,The Treasure of the Sierra Madre,8.2
119,Der Untergang,8.2
120,Die Hard,8.2
121,Heat,8.2
122,Babam ve Oglum,8.2
123,Raging Bull,8.2
124,Ikiru,8.2
125,The Great Escape,8.2
126,Incendies,8.2
127,The Third Man,8.2
128,Bacheha-Ye aseman,8.2
129,Pan's Labyrinth,8.2
130,Chinatown,8.2
131,Tonari no Totoro,8.2
132,"Three Billboards Outside Ebbing, Missouri",8.2
133,Judgment at Nuremberg,8.2
134,Ran,8.2
135,Hauru no ugoku shiro,8.2
136,El secreto de sus ojos,8.2
137,The Gold Rush,8.2
138,The Bridge on the River Kwai,8.2
139,On the Waterfront,8.2
140,"Lock, Stock and Two Smoking Barrels",8.2
141,A Beautiful Mind,8.2
142,Det sjunde inseglet,8.2
143,Inside Out,8.2
144,Casino,8.2
145,Room,8.2
146,Mr. Smith Goes to Washington,8.1
147,The Elephant Man,8.1
148,The Wolf of Wall Street,8.1
149,V for Vendetta,8.1
150,Blade Runner,8.1
151,Warrior,8.1
152,Smultronstället,8.1
153,The General,8.1
154,Dial M for Murder,8.1
155,Trainspotting,8.1
156,Sherlock Jr.,8.1
157,No Country for Old Men,8.1
158,Gone with the Wind,8.1
159,The Sixth Sense,8.1
160,There Will Be Blood,8.1
161,Gran Torino,8.1
162,Fargo,8.1
163,The Deer Hunter,8.1
164,The Thing,8.1
165,Incredibles 2,8.1
166,Finding Nemo,8.1
167,The Big Lebowski,8.1
168,Idi i smotri,8.1
169,Kill Bill: Vol. 1,8.1
170,Cool Hand Luke,8.1
171,Rebecca,8.1
172,Shutter Island,8.1
173,Tôkyô monogatari,8.1
174,Sunrise: A Song of Two Humans,8.1
175,Hacksaw Ridge,8.1
176,Mary and Max,8.1
177,How to Train Your Dragon,8.1
178,Gone Girl,8.1
179,Eskiya,8.1
180,Relatos salvajes,8.1
181,Into the Wild,8.1
182,Life of Brian,8.1
183,It Happened One Night,8.1
184,Andrei Rublev,8.1
185,Jurassic Park,8.1
186,Platoon,8.1
187,In the Name of the Father,8.1
188,Stand by Me,8.1
189,The Grand Budapest Hotel,8.1
190,Rang De Basanti,8.1
191,Network,8.1
192,Hotel Rwanda,8.1
193,Stalker,8.1
194,La passion de Jeanne d'Arc,8.1
195,Ben-Hur,8.1
196,Le salaire de la peur,8.1
197,The Truman Show,8.1
198,Persona,8.1
199,Rush,8.1
200,Salinui chueok,8.1
201,12 Years a Slave,8.1
202,Million Dollar Baby,8.1
203,Mad Max: Fury Road,8.1
204,Les quatre cents coups,8.1
205,Spotlight,8.1
206,Logan,8.1
207,Before Sunrise,8.1
